epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
53,31.2065,0.68089,0.48381,1.04836,0.04586,0.91214,0.94443,0.94378,0.79006,0.69122,0.51337,1.13574,0.04634,0.00106118,0.00106118,0.00106118
54,31.7371,0.64632,0.46513,1.02969,0.0418,0.92222,0.94067,0.94979,0.80532,0.68246,0.49449,1.12992,0.04433,0.0010541,0.0010541,0.0010541
55,32.2622,0.65083,0.46861,1.04066,0.04677,0.9222,0.95369,0.94997,0.79368,0.70695,0.51154,1.15934,0.05049,0.00104703,0.00104703,0.00104703
56,32.7832,0.66143,0.47839,1.04221,0.0471,0.91661,0.94763,0.95159,0.79469,0.69777,0.51917,1.13849,0.04703,0.00103995,0.00103995,0.00103995
57,33.2991,0.68538,0.47708,1.03496,0.05166,0.91583,0.95286,0.95305,0.79686,0.70389,0.50935,1.13766,0.04465,0.00103288,0.00103288,0.00103288
58,33.8179,0.64667,0.47599,1.02413,0.04142,0.91837,0.95084,0.9542,0.79806,0.70208,0.50976,1.1407,0.04469,0.00102581,0.00102581,0.00102581
59,34.3385,0.65109,0.46264,1.02925,0.0435,0.92463,0.95473,0.94319,0.78496,0.71709,0.54054,1.17355,0.04648,0.00101873,0.00101873,0.00101873
60,34.8458,0.6406,0.47079,1.03729,0.0399,0.91359,0.96228,0.94545,0.78134,0.72951,0.53825,1.16721,0.04574,0.00101166,0.00101166,0.00101166
61,35.359,0.65436,0.47697,1.03525,0.04198,0.91176,0.93516,0.94535,0.78767,0.71789,0.52477,1.14515,0.0464,0.00100459,0.00100459,0.00100459
62,35.8714,0.60801,0.46277,1.0001,0.03712,0.91748,0.9537,0.94114,0.779,0.72035,0.51981,1.14978,0.04619,0.000997513,0.000997513,0.000997513
63,36.3955,0.65433,0.47301,1.02097,0.03716,0.91307,0.95668,0.94135,0.77475,0.71977,0.52267,1.15822,0.04653,0.00099044,0.00099044,0.00099044
64,36.9185,0.64654,0.45822,1.02781,0.03884,0.92158,0.95985,0.94344,0.77438,0.70505,0.51546,1.15159,0.04802,0.000983366,0.000983366,0.000983366
65,37.4369,0.62628,0.45294,1.01242,0.03872,0.9267,0.93802,0.94681,0.78875,0.7027,0.50017,1.14744,0.05035,0.000976293,0.000976293,0.000976293
66,37.954,0.64649,0.44641,1.01124,0.03843,0.92636,0.94475,0.9501,0.79144,0.70059,0.49165,1.144,0.04694,0.000969219,0.000969219,0.000969219
67,38.4736,0.63056,0.45343,1.03499,0.03973,0.92216,0.94457,0.95691,0.81148,0.68569,0.48496,1.12959,0.04282,0.000962146,0.000962146,0.000962146
68,38.9981,0.60168,0.43789,1.00188,0.03297,0.93023,0.92941,0.95198,0.81034,0.68684,0.48945,1.1455,0.04375,0.000955072,0.000955072,0.000955072
69,39.5201,0.62049,0.44337,1.00863,0.03487,0.90978,0.94763,0.95407,0.79244,0.70908,0.50701,1.16667,0.04517,0.000947999,0.000947999,0.000947999
70,40.0472,0.60935,0.44345,0.9911,0.03616,0.90612,0.95689,0.94757,0.78457,0.71547,0.51208,1.16749,0.04862,0.000940925,0.000940925,0.000940925
71,40.5746,0.59521,0.42848,0.97467,0.03425,0.92115,0.94472,0.94424,0.80177,0.68578,0.49143,1.15848,0.04257,0.000933851,0.000933851,0.000933851
72,41.104,0.59514,0.43327,0.99493,0.03433,0.91298,0.94942,0.949,0.80233,0.6858,0.47808,1.14862,0.04327,0.000926778,0.000926778,0.000926778
73,41.611,0.65839,0.45775,1.01558,0.04269,0.91097,0.94339,0.95107,0.80337,0.68901,0.48178,1.14433,0.04165,0.000919704,0.000919704,0.000919704
74,42.1238,0.64491,0.44573,1.0063,0.04023,0.9256,0.92218,0.95135,0.79841,0.69258,0.47805,1.13897,0.04495,0.000912631,0.000912631,0.000912631
75,42.6391,0.57045,0.4052,0.96721,0.03178,0.91237,0.92676,0.9475,0.80031,0.67869,0.48282,1.12837,0.0429,0.000905557,0.000905557,0.000905557
76,43.162,0.61394,0.43028,0.99132,0.03801,0.88991,0.9633,0.94498,0.79937,0.66738,0.48168,1.13859,0.03928,0.000898484,0.000898484,0.000898484
77,43.6759,0.62034,0.43942,1.02007,0.03147,0.89657,0.93196,0.94577,0.8014,0.67406,0.48647,1.13808,0.03875,0.00089141,0.00089141,0.00089141
78,44.1962,0.59654,0.42418,0.97635,0.03252,0.92335,0.9347,0.94438,0.79577,0.67142,0.48787,1.13867,0.03636,0.000884337,0.000884337,0.000884337
79,44.7219,0.57946,0.41347,0.97225,0.03304,0.91722,0.93836,0.9514,0.80526,0.66706,0.47975,1.13363,0.04122,0.000877263,0.000877263,0.000877263
80,45.2449,0.60098,0.42442,1.00015,0.03371,0.91485,0.92818,0.95628,0.81244,0.65733,0.47479,1.13156,0.037,0.00087019,0.00087019,0.00087019
81,45.7757,0.59496,0.42266,0.98533,0.03472,0.89875,0.94334,0.94977,0.81052,0.66735,0.48946,1.12932,0.03735,0.000863116,0.000863116,0.000863116
82,46.2952,0.60212,0.41418,0.97567,0.03385,0.87705,0.95689,0.94819,0.81556,0.66207,0.47872,1.13459,0.03901,0.000856042,0.000856042,0.000856042
83,46.8379,0.61257,0.42873,1.00859,0.04178,0.90362,0.95971,0.95299,0.81773,0.65674,0.47566,1.12535,0.03846,0.000848969,0.000848969,0.000848969
84,47.3755,0.57735,0.4053,0.98095,0.03252,0.90984,0.95404,0.94869,0.81718,0.65464,0.47433,1.11256,0.03808,0.000841895,0.000841895,0.000841895
85,47.8881,0.59215,0.41998,0.98889,0.04163,0.91326,0.94241,0.94609,0.81456,0.65791,0.47122,1.11704,0.0356,0.000834822,0.000834822,0.000834822
86,48.4019,0.57507,0.41368,0.97495,0.03619,0.91951,0.94388,0.95422,0.8208,0.67969,0.48255,1.13528,0.03757,0.000827748,0.000827748,0.000827748
87,48.9432,0.59543,0.41889,0.982,0.03465,0.92515,0.91344,0.94933,0.81042,0.69009,0.50138,1.14712,0.03639,0.000820675,0.000820675,0.000820675
88,49.463,0.59133,0.41931,0.98472,0.03437,0.90335,0.95189,0.94819,0.80763,0.67526,0.4834,1.13484,0.03811,0.000813601,0.000813601,0.000813601
89,49.9822,0.56884,0.41056,0.95906,0.0262,0.90432,0.94633,0.94436,0.80751,0.68623,0.48094,1.14867,0.04226,0.000806528,0.000806528,0.000806528
90,50.4952,0.56945,0.4058,0.98056,0.02922,0.90921,0.94763,0.94686,0.80184,0.6722,0.48423,1.15158,0.03508,0.000799454,0.000799454,0.000799454
91,51.0193,0.57275,0.40787,0.97467,0.03298,0.91613,0.95207,0.94754,0.80413,0.66848,0.48375,1.15463,0.03232,0.00079238,0.00079238,0.00079238
